# Source: TheirStack — Companies that use iCIMS
# URL: https://theirstack.com/en/technology/icims
# Stated total: 24,417 companies (Page 1 of 2,442)
# Visible/saved here: 10
# Format: Company Name | domain
# Date: 2026-06-23

Allied Universal | aus.com
Aimbridge Hospitality | aimbridgehospitality.com
Oak View Group | oakviewgroup.com
Expleo Group | expleo.com
Hackensack Meridian Health | hackensackmeridianhealth.org
Vancouver Coastal Health | vch.ca
Ryder System | ryder.com
Sargent & Lundy | sargentlundy.com
Emory Healthcare | emoryhealthcare.org
Healthcare Services Group | hcsgcorp.com
