# Source: TheirStack — Companies that use BambooHR
# URL: https://theirstack.com/en/technology/bamboohr
# Stated total: 40,912 companies (Page 1 of 4,092)
# Visible/saved here: 7 (3 without domains)
# Format: Company Name | domain
# Date: 2026-06-23

OpenRoad Auto Group | openroadautogroup.com
Hotel Co 51 | hotelco51.com
The Weitz Company / Contrack Watts, Inc. | weitz.com
Revere Health | reverehealth.com
The 401 Group of Companies | 401group.ca
FFUN Group | ffun.com
Azure Summit Technology |
Hunt Electric |
Canadian Mental Health Association | cmha.ca
Stealth Monitoring |
