slug,company_name
uniphore,Uniphore
unknownworlds,Unknown Worlds
upstox,upstox
uptycs,uptycs     
useinsider,USE Insider
varni-labs,Zamp
vendavo,Vendavo
viacom18,Viacom 18
vidsy,Vidsy
volka,Volka Games
voodoo,Voodoo
waveapps,WaveApps
webfx,WebFX
whoop,whoop
wildlight,Wildlight
wisk,Wisk
worldmakers,World Makers
wr,world relief
xepelin,Xepelin
xsolla,Xsolla
zeeco,Zeeco  Inc.
zerofox,zerofox
zeta,zeta
zoox,zoox
zuru,Zuru
