ats,tenant,url,status,jobs,checked_at
breezy,7learnings,https://7learnings.breezy.hr,dead,,2026-09-23
breezy,7med-india,https://7med-india.breezy.hr,dead,,2026-09-23
breezy,7xdirect,https://7xdirect.breezy.hr,dead,,2026-09-23
breezy,8-9-consulting,https://8-9-consulting.breezy.hr,live,0,2026-09-23
breezy,801-english,https://801-english.breezy.hr,dead,,2026-09-23
breezy,818-spirits,https://818-spirits.breezy.hr,live,0,2026-09-23
breezy,8allocate,https://8allocate.breezy.hr,dead,,2026-09-23
breezy,8belts,https://8belts.breezy.hr,dead,,2026-09-23
breezy,8ninths,https://8ninths.breezy.hr,dead,,2026-09-23
breezy,9-count,https://9-count.breezy.hr,dead,,2026-09-23
breezy,99-group,99-group.breezy.hr,live,0,2026-09-23
breezy,9nerdz,https://9nerdz.breezy.hr,dead,,2026-09-23
breezy,a-a,https://a-a.breezy.hr,live,1,2026-09-23
breezy,a-core-concrete-specialists,a-core-concrete-specialists.breezy.hr,live,39,2026-09-23
breezy,a-cube-s-r-l,a-cube-s-r-l.breezy.hr,live,0,2026-09-23
breezy,a-different-engine,https://a-different-engine.breezy.hr,dead,,2026-09-23
breezy,a-e-llc,https://a-e-llc.breezy.hr,dead,,2026-09-23
breezy,a-fresh-wind-church,a-fresh-wind-church.breezy.hr,dead,,2026-09-23
breezy,a-g-digital,https://a-g-digital.breezy.hr,dead,,2026-09-23
breezy,a-hiringgroup,a-hiringgroup.breezy.hr,live,198,2026-09-23
breezy,a-kid-s-place-of-tampa-bay-inc,https://a-kid-s-place-of-tampa-bay-inc.breezy.hr,live,0,2026-09-23
breezy,a-list-therapy,https://a-list-therapy.breezy.hr,dead,,2026-09-23
breezy,a-m-t-a-e-solutions,https://a-m-t-a-e-solutions.breezy.hr,live,1,2026-09-23
breezy,a-merante-contracting-inc,https://a-merante-contracting-inc.breezy.hr,live,7,2026-09-23
breezy,a-o-proptech,https://a-o-proptech.breezy.hr,dead,,2026-09-23
breezy,a-p-group-ltd,a-p-group-ltd.breezy.hr,dead,,2026-09-23
breezy,a-teamglobal,a-teamglobal.breezy.hr,live,0,2026-09-23
breezy,a-wonderful-planet-gmbh,https://a-wonderful-planet-gmbh.breezy.hr,live,0,2026-09-23
breezy,a-word-about-wind,https://a-word-about-wind.breezy.hr,dead,,2026-09-23
breezy,a1-best-staffing,https://a1-best-staffing.breezy.hr,dead,,2026-09-23
breezy,a1-staffing-solutions,https://a1-staffing-solutions.breezy.hr,dead,,2026-09-23
breezy,a2h,a2h.breezy.hr,live,19,2026-09-23
breezy,aa-healthsystem,https://aa-healthsystem.breezy.hr,dead,,2026-09-23
breezy,aaa-service-network,aaa-service-network.breezy.hr,live,0,2026-09-23
breezy,aads-education-pvt-ltd,https://aads-education-pvt-ltd.breezy.hr,dead,,2026-09-23
breezy,aaf,https://aaf.breezy.hr,dead,,2026-09-23
breezy,aah,aah.breezy.hr,live,0,2026-09-23
breezy,aapm,aapm.breezy.hr,dead,,2026-09-23
breezy,aarki,aarki.breezy.hr,live,0,2026-09-23
breezy,aau,aau.breezy.hr,live,0,2026-09-23
breezy,ab-connectia,https://ab-connectia.breezy.hr,dead,,2026-09-23
breezy,abarca-health,https://abarca-health.breezy.hr,dead,,2026-09-23
breezy,abax-health-inc,abax-health-inc.breezy.hr,live,0,2026-09-23
breezy,abba,abba.breezy.hr,live,0,2026-09-23
breezy,abc,abc.breezy.hr,live,0,2026-09-23
breezy,abc-accelerator,https://abc-accelerator.breezy.hr,dead,,2026-09-23
breezy,abc-arbitrage,abc-arbitrage.breezy.hr,live,8,2026-09-23
breezy,abc-imaging,abc-imaging.breezy.hr,live,73,2026-09-23
breezy,abc-recovery-center,https://abc-recovery-center.breezy.hr,live,0,2026-09-23
breezy,abc1234,https://abc1234.breezy.hr,dead,,2026-09-23
breezy,abel-cole,abel-cole.breezy.hr,live,5,2026-09-23
breezy,aberdeen-home-care,https://aberdeen-home-care.breezy.hr,live,1,2026-09-23
breezy,abi-research,https://abi-research.breezy.hr,dead,,2026-09-23
breezy,abidjan-podcast-studio,https://abidjan-podcast-studio.breezy.hr,dead,,2026-09-23
breezy,ability-recruiting,https://ability-recruiting.breezy.hr,dead,,2026-09-23
breezy,abine,https://abine.breezy.hr,dead,,2026-09-23
breezy,able-brewing,able-brewing.breezy.hr,dead,,2026-09-23
breezy,able-co,https://able-co.breezy.hr,dead,,2026-09-23
breezy,ablefy,ablefy.breezy.hr,live,12,2026-09-23
breezy,abortion-forward,https://abortion-forward.breezy.hr,live,0,2026-09-23
breezy,abound,https://abound.breezy.hr,dead,,2026-09-23
breezy,abound-paraplanning,abound-paraplanning.breezy.hr,dead,,2026-09-23
breezy,above-flights,https://above-flights.breezy.hr,live,1,2026-09-23
breezy,abs,abs.breezy.hr,live,0,2026-09-23
breezy,absoindigo,https://absoindigo.breezy.hr,dead,,2026-09-23
breezy,absolute-airflow,https://absolute-airflow.breezy.hr,dead,,2026-09-23
breezy,absolute-labs,absolute-labs.breezy.hr,dead,,2026-09-23
breezy,absolute-pets,absolute-pets.breezy.hr,live,90,2026-09-23
breezy,absolute-security,absolute-security.breezy.hr,live,5,2026-09-23
