# Source: Bloomberry — Companies using Jobvite (active customer list)
# URL: https://bloomberry.com/data/jobvite/
# Stated total: 570 companies detected
# Visible/saved here: 10
# Format: Company Name | domain
# Date: 2026-06-23

Genpact | genpact.com
Ridgemere Senior Living | ridgemereconway.com
Delpharm | delpharm.com
Firehouse Animal Health Centers | firehouse.vet
Metropolitan Environmental Services, Inc. | metenviro.com
San Dimas Pet Clinic | lonehillvet.com
Valiantys Federal | valiantysfederal.com
Federal Staffing Resources | fsrpeople.com
United Veterinary Care | unitedveterinarycare.com
Mobile Dredging & Video Pipe, Inc. | mdvpinc.com
