company,ats,slug,endpoint,platform_label,careers_url,file
Corgi,ashby,corgi,api.ashbyhq.com/posting-api/job-board/corgi,Ashby,https://jobs.ashbyhq.com/corgi,corgi.md
Coursera,greenhouse,coursera,boards-api.greenhouse.io/v1/boards/coursera,Greenhouse,https://www.coursera.org/careers,coursera.md
Crusoe,ashby,crusoe,api.ashbyhq.com/posting-api/job-board/crusoe,ashby,https://www.crusoe.ai/about/careers,crusoe.md
Cursor,ashby,cursor,api.ashbyhq.com/posting-api/job-board/cursor,ashby API,https://cursor.com/careers,cursor.md
CVS Health,,,,,https://jobs.cvshealth.com/us/en/search-results,cvs_health.md
Databricks,greenhouse,databricks,boards-api.greenhouse.io/v1/boards/databricks,Greenhouse,https://www.databricks.com/company/careers/open-positions?department=all&location=United%20States,databricks.md
Dave,ashby,dave,api.ashbyhq.com/posting-api/job-board/dave,Ashby,https://dave.com/careers,dave.md
Decagon,ashby,decagon,api.ashbyhq.com/posting-api/job-board/decagon,Ashby,https://decagon.ai/careers,decagon.md
Decart.ai,ashby,decart-ai,api.ashbyhq.com/posting-api/job-board/decart-ai,Ashby,https://jobs.ashbyhq.com/decart-ai,decart_ai.md
Deepgram,ashby,Deepgram,api.ashbyhq.com/posting-api/job-board/Deepgram,Ashby,https://deepgram.com/careers,deepgram.md
Dell Technologies,,,,,,dell_technologies.md
Deloitte,avature,deloitteus,deloitteus.avature.net,,https://apply.deloitte.com/en_US/careers/SearchJobs/,deloitte.md
Delta Air Lines,avature,delta,delta.avature.net,,,delta_air_lines.md
DigitalOcean,greenhouse,digitalocean98,api.greenhouse.io/v1/boards/digitalocean98,Greenhouse,https://www.digitalocean.com/careers,digital_ocean.md
The Walt Disney Company,,,,,,disney.md
Docker,ashby,docker,api.ashbyhq.com/posting-api/job-board/docker,Ashby,https://www.docker.com/career-openings/,docker.md
DocuSign,icims,latamcareers-docusign,latamcareers-docusign.icims.com,,,docusign.md
Draper,workday,draper,draper.wd5.myworkdayjobs.com,workday,https://www.draper.com/careers,draper.md
Dyna Robotics,ashby,dyna-robotics,jobs.ashbyhq.com/dyna-robotics,Ashby,https://www.dyna.co/careers,dyna_robotics.md
Elastic,greenhouse,elastic,job-boards.greenhouse.io/elastic,vendor,,elastic.md
Elastix AI,ashby,elastix,api.ashbyhq.com/posting-api/job-board/elastix,Ashby,https://www.elastix.ai/career,elastix_ai.md
ElevenLabs,ashby,elevenlabs,api.ashbyhq.com/posting-api/job-board/elevenlabs,Ashby,https://elevenlabs.io/careers,elevenlabs.md
Ema,ashby,ema,jobs.ashbyhq.com/ema,Ashby,https://jobs.ashbyhq.com/ema,ema.md
Epic Systems,avature,epic,epic.avature.net,Next,,epic-systems.md
Equifax,,,,bespoke Equifax careers SPA,https://careers.equifax.com/en/jobs/,equifax.md
Exact Sciences,workday,exactsciences,exactsciences.wd1.myworkdayjobs.com,Workday,https://exactsciences.wd1.myworkdayjobs.com/Exact_Sciences,exact_sciences.md
Experian,smartrecruiters,,,SmartRecruiters,https://jobs.experian.com/jobs,experian.md
FedEx,,,,,https://careers.fedex.com/jobs,fedex.md
FuboTV,greenhouse,fubotv,boards-api.greenhouse.io/v1/boards/fubotv,greenhouse,https://careers.fubo.tv/fubotv-job-openings/,fubotv.md
Galileo Financial Technologies,greenhouse,galileofinancialtechnologies,boards-api.greenhouse.io/v1/boards/galileofinancialtechnologies,Greenhouse,https://www.galileo-ft.com/careers/,galileo_financial_technologies.md
Garmin,icims,,,Jibe / iCIMS stack,https://careers.garmin.com/jobs,garmin.md
