company,ats,slug
coursera,greenhouse,coursera
cred,lever,cred
epifi,lever,epifi
fiserv,workday,fiserv
frontrow,keka,frontrow
nutanix,eightfold,nutanix
paypal,eightfold,paypal
paytm,lever,paytm
phonepe,greenhouse,phonepe
razorpay,greenhouse,razorpaysoftwareprivatelimited
spinny,freshteam,spinny
upgrad,darwinbox,upgrad
zeta,lever,zeta
