# Source: TheirStack — Companies that use Darwinbox
# URL: https://theirstack.com/en/technology/darwinbox
# Stated total: 1,072 companies (Page 1 of 108)
# Visible/saved here: 9 (1 without domain)
# Format: Company Name | domain
# Date: 2026-06-23

EY | ey.com
PwC | pwc.com
LET X Integrated Resort |
Sembcorp | sembcorp.com
Imarticus Learning | imarticus.org
Robinsons Retail Holdings Inc. | robinsonsretailholdings.com.ph
Freyr Energy Services | freyrenergy.com
JG Summit Olefins Corporation | jgsoc.com
Harrow International School Bangkok | harrowschool.ac.th
PW (PhysicsWallah) | pw.live
