# Source: TheirStack — Companies that use RippleHire
# URL: https://theirstack.com/en/technology/ripplehire
# Stated total: 26 companies (Page 1 of 3)
# Visible/saved here: 7 (3 without domains)
# Format: Company Name | domain
# Date: 2026-06-23

Uplers | uplers.com
Mphasis | mphasis.com
LTIMindtree | ltimindtree.com
LTM |
Paytm | paytm.com
Axis Bank |
UST HealthProof | usthealthproof.com
Freecharge |
UST | ust.com
Tata Technologies | tatatechnologies.com
